,country,gdp,ranking,score_citation,score_industry,score_int_outlook,score_overall,score_research,score_teaching,avg_score
0,Japan,4770.0,753,24.2,43.2,23.1,24.2,17.4,26.7,27.1
1,Hungary,129.7,686,33.1,36.5,52.6,25.2,11.4,20.5,25.3
2,Algeria,227.8,966,4.6,32.0,39.6,16.5,9.0,24.8,17.4
3,Belgium,527.8,222,69.8,69.8,68.4,51.4,43.1,35.5,53.9
4,Philippines,284.6,829,26.8,36.7,41.0,21.9,9.6,20.3,23.1
5,United States,17420.0,286,73.0,44.1,44.5,50.5,37.6,41.8,49.4
6,Nigeria,594.3,806,5.9,36.6,29.0,17.0,11.3,25.4,19.2
7,Colombia,400.1,656,33.9,37.2,44.9,25.3,14.4,18.6,25.9
8,South Korea,1410.0,508,38.3,61.0,32.7,34.0,28.8,31.3,38.7
9,France,2902.0,388,60.2,40.0,62.2,40.5,22.3,32.3,39.0
10,Austria,436.1,333,63.4,47.7,78.6,41.7,22.5,29.4,41.0
11,Thailand,373.8,758,23.8,51.6,31.9,21.0,11.8,20.0,25.6
12,United Arab Emirates,416.4,603,32.2,41.1,95.9,28.5,13.6,19.6,27.0
13,Lebanon,47.5,503,41.1,37.5,89.5,32.3,12.1,27.3,30.1
14,Norway,511.6,297,73.1,40.1,70.0,45.5,27.8,29.1,43.1
15,Taiwan,529.5,682,25.9,54.1,25.5,25.7,23.5,23.1,30.5
16,Lithuania,48.7,857,20.8,38.6,34.9,20.2,12.5,18.6,22.1
17,Estonia,26.4,535,57.8,39.1,46.0,33.9,18.2,20.1,33.8
18,Tunisia,49.1,1001,8.4,32.1,39.6,15.4,7.8,18.5,16.4
19,Brazil,2244.0,770,17.1,40.1,21.4,21.0,14.8,26.2,23.8
20,Denmark,347.2,218,78.2,49.8,77.1,50.0,34.1,30.3,48.5
21,Romania,199.0,744,19.6,31.8,35.8,20.1,9.4,23.0,20.8
22,India,2048.0,726,25.2,40.1,16.8,23.5,14.4,28.2,26.3
23,China,10360.0,622,32.0,63.7,24.7,29.4,24.2,29.2,35.7
24,Hong Kong,292.7,153,74.9,50.2,84.7,58.2,49.1,44.2,55.3
25,Morocco,112.6,901,14.6,33.8,32.9,17.0,6.9,20.5,18.6
26,Venezuela,209.2,910,15.0,28.6,40.6,16.7,7.9,16.1,16.9
27,Chile,264.1,709,29.4,37.6,47.0,23.4,12.5,18.1,24.2
28,Czech Republic,205.6,732,28.6,35.1,40.9,23.7,14.1,19.8,24.2
29,Kenya,62.7,839,20.3,31.0,46.1,18.6,9.5,14.1,18.7
30,Peru,208.2,748,40.6,31.7,51.3,23.8,5.2,15.4,23.3
31,Germany,3820.0,212,71.0,64.7,54.4,51.7,41.3,40.8,53.9
32,Oman,80.5,834,16.2,42.1,71.1,21.7,10.1,22.2,22.5
33,Ireland,245.8,359,58.2,39.2,81.5,41.3,26.3,28.0,38.6
34,Malaysia,336.9,767,20.3,40.6,45.4,23.9,16.7,25.1,25.3
35,Kuwait,179.3,702,27.7,36.2,70.1,23.5,8.9,18.6,23.0
36,Cyprus,21.3,382,69.1,36.0,72.7,39.5,21.2,18.6,36.8
37,Indonesia,856.1,848,11.8,60.1,36.3,17.1,10.0,19.5,23.7
38,Poland,552.2,786,28.9,34.1,26.0,21.4,10.7,19.2,22.8
39,Sweden,559.1,199,79.8,55.1,63.8,52.4,40.0,34.5,52.4
40,Iran,402.7,756,26.1,49.1,15.9,23.4,17.5,24.0,28.0
41,Switzerland,679.0,178,76.5,63.8,93.0,57.1,43.0,41.9,56.5
42,Netherlands,880.4,107,81.8,72.1,73.2,60.6,54.1,41.9,62.1
43,Costa Rica,50.5,839,17.8,1.6,45.3,18.5,7.3,18.8,12.8
44,Ukraine,134.9,953,3.3,28.9,33.2,14.8,8.4,22.5,15.6
45,Georgia,16.1,952,2.4,32.6,39.3,12.7,8.8,14.2,14.1
46,Croatia,57.2,855,32.6,39.9,31.9,23.3,11.7,19.4,25.4
47,Slovenia,49.9,654,38.2,36.8,35.8,26.4,14.0,21.1,27.3
48,Canada,1794.0,321,61.5,46.5,68.9,46.2,35.3,34.7,44.9
49,Sri Lanka,71.6,837,12.0,16.4,37.6,16.2,7.4,18.6,14.1
50,Macao,55.4,403,53.2,41.1,98.6,37.6,21.8,20.7,34.9
51,Spain,1400.0,567,46.8,36.7,42.8,31.3,17.7,23.6,31.2
52,United Kingdom,2848.0,375,61.2,35.5,78.7,43.8,29.9,30.5,40.2
53,Serbia,42.6,722,17.4,41.2,31.4,19.1,12.8,18.9,21.9
54,Greece,246.4,532,51.4,41.0,40.0,30.7,16.3,19.4,31.7
55,Belarus,75.2,754,9.6,34.4,51.8,17.6,9.2,20.4,18.3
56,Bulgaria,55.1,1011,9.2,33.4,38.6,16.4,9.7,19.2,17.6
57,Finland,276.3,350,64.3,46.1,53.2,42.0,28.2,29.5,42.0
58,Russian Federation,2057.0,682,25.1,50.7,33.5,27.0,19.1,31.3,30.6
59,Portugal,228.2,529,41.9,40.2,47.4,32.2,22.8,24.8,32.4
60,Latvia,32.8,867,17.4,34.3,32.1,18.6,10.6,19.4,20.1
61,Jordan,36.6,768,25.6,32.5,57.3,20.4,7.4,14.8,20.2
62,Bangladesh,186.6,837,9.3,38.7,39.6,16.1,7.0,21.0,18.4
63,Italy,2129.0,401,70.2,40.4,39.2,38.7,19.3,24.9,38.7
64,Uganda,26.1,432,74.8,36.0,58.3,36.5,11.7,16.2,35.0
65,Luxembourg,63.9,183,87.5,39.4,99.8,51.8,29.7,27.2,47.1
66,Qatar,212.0,591,42.7,47.7,99.9,31.0,15.0,15.3,30.3
67,New Zealand,201.0,391,54.9,43.7,89.6,39.8,24.9,25.0,37.7
68,Australia,1483.0,317,65.1,48.0,78.8,45.5,33.0,28.7,44.0
69,Ghana,35.5,736,19.8,38.9,48.8,22.5,19.5,16.5,23.4
70,South Africa,341.2,523,47.0,56.7,56.4,35.1,25.4,24.1,37.6
71,Israel,305.0,390,47.9,38.5,49.3,39.7,34.5,31.8,38.5
72,Mexico,1296.0,845,13.7,44.7,33.5,18.6,12.6,20.5,22.0
73,Slovakia,99.8,796,20.4,33.8,35.5,20.6,11.1,22.0,21.6
74,Singapore,307.9,38,84.6,76.7,95.7,75.4,74.0,62.4,74.6
75,Argentina,536.2,844,13.8,11.6,25.5,16.1,8.2,18.5,13.6
76,Egypt,284.9,786,21.9,30.0,41.6,19.8,8.6,18.9,19.8
77,Iceland,16.2,280,89.0,50.6,61.1,45.2,24.9,17.0,45.3
78,Pakistan,237.5,828,28.1,27.5,33.3,20.4,8.0,17.5,20.3
79,Saudi Arabia,777.9,488,43.7,68.8,85.7,33.0,16.6,23.2,37.1
80,Turkey,813.3,691,32.8,52.0,28.5,24.7,16.0,19.9,29.1
81,Northern Cyprus,4.0,653,30.1,56.2,76.2,24.8,12.0,15.6,27.7
