,university_name,country,ranking,no_student,no_student_p_staff,pct_intl_student,year,score_overall,score_teaching,score_research,score_citation,score_industry,score_int_outlook,male,female
5,Harvard University,United States,6,20152,8.9,25%,2016,91.6,83.6,99.0,99.8,45.2,77.2,,
14,Columbia University,United States,15,25055,5.9,28%,2016,86.1,85.9,82.2,98.1,-,73.5,,
18,University of Toronto,Canada,19,66198,19.5,15%,2016,83.9,75.9,89.3,90.9,49.1,77.8,,
41,Peking University,China,42,40148,8.3,14%,2016,72,77.8,72.4,69.1,100,49.2,,
42,The University of Tokyo,Japan,43,26199,5.7,10%,2016,71.1,81.4,83.0,60.9,50.8,30.3,,
48,Humboldt University of Berlin,Germany,49,29987,52.5,16%,2016,69.9,63.7,77.0,73.6,36.1,62.6,,
50,Brown University,United States,51,8653,10.1,19%,2016,69.6,62.8,55.7,96.4,31.4,57.8,,
58,Hong Kong University of Science and Technology,Hong Kong,59,11385,23.8,36%,2016,67.2,49.4,66.1,82.6,68.1,80.5,,
84,Seoul National University,South Korea,85,26389,13.9,10%,2016,60.5,66.5,70.5,50.0,85.4,30.9,,
87,Kyoto University,Japan,88,22809,5.6,7%,2016,59.9,70.6,69.3,46.6,79,26.1,,
90,Lund University,Sweden,91,28251,11.5,15%,2016,59.7,39.7,53.6,81.3,70.4,74.1,,
136,University of Oslo,Norway,137,27139,18.8,18%,2016,55.1,43.3,44.7,75.5,38.3,68.2,,
146,University of Lausanne,Switzerland,147,11964,13.1,22%,2016,53.9,30.9,45.6,76.2,56,89.2,,
176,University College Dublin,Ireland,177,22193,24.5,23%,2016,50.6,35.0,38.5,70.8,33.5,86.3,,
179,University of Gothenburg,Sweden,180,26420,16.4,12%,2016,50.2,28.5,39.8,81.8,30.3,58.3,,
187,Paris-Sud University,France,188,27603,15.0,17%,2016,49.8,38.7,29.0,79.8,28.8,64.2,,
225,Joseph Fourier University,France,226,16130,12.1,13%,2016,-,34.2,21.6,83.2,31.6,58.6,,
227,Laval University,Canada,228,27227,16.2,12%,2016,-,37.5,31.7,62.2,57.5,63.8,,
239,University of Science and Technology of China,China,240,14290,7.9,2%,2016,-,46.7,36.6,67.2,80.3,21.4,,
240,University of South Florida,United States,241,31424,21.5,10%,2016,-,24.8,35.7,73.4,99.8,45.1,,
243,Swedish University of Agricultural Sciences,Sweden,244,3879,4.6,,2016,-,31.5,32.8,68.1,99.9,40.1,67.0,33.0
245,Tel Aviv University,Israel,246,23977,24.4,4%,2016,-,41.0,50.5,49.2,42.9,47.5,,
274,Korea University,South Korea,275,24043,15.8,14%,2016,-,43.9,43.4,41.8,99.8,40.2,,
297,"University of Tennessee, Knoxville",United States,298,24716,17.0,5%,2016,-,29.5,23.2,81.4,41.3,39.3,,
328,University of Naples Federico II,Italy,329,83653,64.2,1%,2016,-,24.7,14.8,81.3,47.4,21.1,,
349,Yonsei University,South Korea,350,24774,11.6,14%,2016,-,37.2,34.1,39.4,75.9,41.5,,
360,Hanyang University,South Korea,361,16729,10.4,19%,2016,-,33.9,32.6,31.1,87.9,54.3,,
415,Catholic University of the Sacred Heart,Italy,416,30304,18.9,10%,2016,-,18.6,11.3,55.4,38.7,39.0,,
425,East China University of Science and Technology,China,426,27140,15.5,5%,2016,-,24.1,17.1,46.4,64.7,21.7,,
